"KO"	"extracted_text"
"16755"	"K08057"	"TRINITY_DN26505_c0_g1_i4"
"16756"	"K08057"	"TRINITY_DN26505_c0_g1_i5"
"16757"	"K08057"	"TRINITY_DN26505_c0_g2_i1"
"16758"	"K08057"	"TRINITY_DN26505_c0_g2_i2"
"16759"	"K08057"	"TRINITY_DN26505_c0_g3_i1"
"16760"	"K08057"	"TRINITY_DN26505_c0_g3_i3"
"16761"	"K08057"	"TRINITY_DN26505_c0_g4_i1"
"16762"	"K08057"	"TRINITY_DN26505_c0_g4_i2"
"16763"	"K08057"	"TRINITY_DN26505_c0_g4_i3"
"16764"	"K20315"	"TRINITY_DN265062_c0_g1_i1"
"16766"	"K03099"	"TRINITY_DN265093_c0_g1_i1"
"16770"	"K02720"	"TRINITY_DN2650_c0_g1_i1"
"16771"	"K02720"	"TRINITY_DN2650_c0_g1_i2"
"16772"	"K02720"	"TRINITY_DN2650_c0_g1_i5"
"16773"	"K02720"	"TRINITY_DN2650_c0_g1_i7"
"16777"	"K00134"	"TRINITY_DN2651_c0_g1_i1"
"16778"	"K00134"	"TRINITY_DN2651_c0_g1_i10"
"16779"	"K00134"	"TRINITY_DN2651_c0_g1_i12"
"16780"	"K00134"	"TRINITY_DN2651_c0_g1_i13"
"16781"	"K00134"	"TRINITY_DN2651_c0_g1_i14"
"16782"	"K00134"	"TRINITY_DN2651_c0_g1_i4"
"16783"	"K00134"	"TRINITY_DN2651_c0_g1_i5"
"16784"	"K00134"	"TRINITY_DN2651_c0_g1_i6"
"16785"	"K00134"	"TRINITY_DN2651_c0_g1_i7"
"16786"	"K00134"	"TRINITY_DN2651_c0_g1_i8"
"16787"	"K00134"	"TRINITY_DN2651_c0_g1_i9"
"16788"	"K00134"	"TRINITY_DN2651_c1_g1_i1"
"16789"	"K00134"	"TRINITY_DN2651_c4_g1_i1"
"16791"	"K03934"	"TRINITY_DN265225_c0_g1_i1"
"16795"	"K03235"	"TRINITY_DN265286_c0_g1_i3"
"16797"	"K03235"	"TRINITY_DN265286_c0_g1_i5"
"16801"	"K11586"	"TRINITY_DN265331_c1_g1_i1"
"16805"	"K06413"	"TRINITY_DN265394_c0_g1_i1"
"16806"	"K07126"	"TRINITY_DN265410_c0_g1_i1"
"16811"	"K01363"	"TRINITY_DN265492_c0_g2_i1"
"16814"	"K17918"	"TRINITY_DN265582_c0_g1_i1"
"16815"	"K14009"	"TRINITY_DN265607_c0_g1_i1"
"16816"	"K14009"	"TRINITY_DN265607_c0_g1_i2"
"16817"	"K12567"	"TRINITY_DN265628_c0_g1_i1"
"16818"	"K12567"	"TRINITY_DN265628_c0_g1_i2"
"16825"	"K06097"	"TRINITY_DN265658_c1_g1_i2"
"16831"	"K02973"	"TRINITY_DN265768_c0_g1_i3"
"16833"	"K11188"	"TRINITY_DN265800_c0_g2_i2"
"16834"	"K11188"	"TRINITY_DN265800_c0_g2_i3"
"16835"	"K11188"	"TRINITY_DN265800_c0_g2_i4"
"16857"	"K03965"	"TRINITY_DN266063_c0_g1_i1"
"16858"	"K03965"	"TRINITY_DN266063_c0_g1_i2"
"16862"	"K24047"	"TRINITY_DN266159_c0_g2_i1"
"16868"	"K01880"	"TRINITY_DN266250_c0_g1_i1"
"16869"	"K18183"	"TRINITY_DN266281_c0_g1_i1"
"16872"	"K16462"	"TRINITY_DN266310_c0_g2_i1"
"16880"	"K21424"	"TRINITY_DN266372_c0_g2_i1"
"16884"	"K11594"	"TRINITY_DN266426_c0_g2_i1"
"16885"	"K11594"	"TRINITY_DN266426_c0_g3_i1"
"16889"	"K12392"	"TRINITY_DN2664_c0_g1_i1"
"16893"	"K11837"	"TRINITY_DN266544_c0_g2_i1"
"16905"	"K04978"	"TRINITY_DN266782_c0_g1_i2"
"16911"	"K03038"	"TRINITY_DN266852_c0_g1_i1"
"16914"	"K10419"	"TRINITY_DN266894_c0_g1_i1"
"16921"	"K07198"	"TRINITY_DN266972_c0_g1_i1"
"16925"	"K00873"	"TRINITY_DN267021_c0_g1_i1"
"16926"	"K00873"	"TRINITY_DN267021_c0_g2_i1"
"16927"	"K00873"	"TRINITY_DN267021_c0_g3_i1"
"16928"	"K00873"	"TRINITY_DN267021_c0_g3_i2"
"16929"	"K00873"	"TRINITY_DN267021_c0_g4_i1"
"16930"	"K00873"	"TRINITY_DN267021_c0_g4_i2"
"16931"	"K00873"	"TRINITY_DN267021_c0_g5_i1"
"16932"	"K00873"	"TRINITY_DN267021_c0_g6_i1"
"16933"	"K03704"	"TRINITY_DN267050_c0_g1_i1"
"16938"	"K12402"	"TRINITY_DN267074_c0_g1_i1"
"16939"	"K12402"	"TRINITY_DN267074_c0_g1_i2"
"16943"	"K00700"	"TRINITY_DN267175_c0_g1_i1"
"16944"	"K00700"	"TRINITY_DN267175_c0_g1_i2"
"16945"	"K00700"	"TRINITY_DN267175_c0_g2_i1"
"16960"	"K25819"	"TRINITY_DN267428_c0_g1_i1"
"16965"	"K08824"	"TRINITY_DN267463_c0_g1_i1"
"16966"	"K20251"	"TRINITY_DN2674_c1_g1_i1"
"16969"	"K05757"	"TRINITY_DN267558_c0_g1_i2"
"16971"	"K02873"	"TRINITY_DN26757_c0_g1_i1"
"16972"	"K02873"	"TRINITY_DN26757_c0_g1_i2"
"16973"	"K02873"	"TRINITY_DN26757_c0_g1_i3"
"16974"	"K02873"	"TRINITY_DN26757_c0_g2_i1"
"16975"	"K02873"	"TRINITY_DN26757_c0_g2_i2"
"16976"	"K07889"	"TRINITY_DN26758_c1_g1_i2"
"16977"	"K07897"	"TRINITY_DN26758_c2_g1_i1"
"16989"	"K10255"	"TRINITY_DN267816_c0_g1_i1"
"16990"	"K10255"	"TRINITY_DN267816_c0_g2_i1"
"16995"	"K11253"	"TRINITY_DN26786_c0_g1_i4"
"17015"	"K12486"	"TRINITY_DN26820_c0_g1_i1"
"17026"	"K00234"	"TRINITY_DN268456_c0_g1_i1"
"17027"	"K00234"	"TRINITY_DN268456_c0_g1_i2"
"17029"	"K08341"	"TRINITY_DN268474_c0_g1_i1"
"17030"	"K04552"	"TRINITY_DN2684_c0_g1_i1"
"17040"	"K10902"	"TRINITY_DN2685_c0_g1_i12"
"17054"	"K02930"	"TRINITY_DN2687_c0_g1_i1"
"17056"	"K08828"	"TRINITY_DN26884_c0_g1_i1"
"17057"	"K08828"	"TRINITY_DN26884_c0_g1_i2"
"17058"	"K16197"	"TRINITY_DN26885_c0_g2_i4"
"17059"	"K03559"	"TRINITY_DN269010_c0_g3_i1"
"17060"	"K07944"	"TRINITY_DN269032_c0_g1_i1"
"17061"	"K07944"	"TRINITY_DN269032_c0_g1_i2"
"17062"	"K04523"	"TRINITY_DN269038_c0_g2_i1"
"17067"	"K12854"	"TRINITY_DN26903_c0_g2_i1"
"17080"	"K08619"	"TRINITY_DN269336_c0_g1_i1"
"17083"	"K04956"	"TRINITY_DN269361_c0_g1_i1"
"17098"	"K14538"	"TRINITY_DN269657_c0_g1_i1"
"17099"	"K01939"	"TRINITY_DN269692_c0_g2_i1"
"17102"	"K19539"	"TRINITY_DN269747_c0_g1_i1"
"17106"	"K06092"	"TRINITY_DN269803_c0_g1_i1"
"17112"	"K16865"	"TRINITY_DN269953_c0_g1_i1"
"17122"	"K04907"	"TRINITY_DN270120_c0_g1_i1"
"17124"	"K11155"	"TRINITY_DN270169_c1_g1_i1"
"17126"	"K01448"	"TRINITY_DN270204_c0_g2_i1"
"17127"	"K00559"	"TRINITY_DN27024_c0_g1_i1"
"17131"	"K10746"	"TRINITY_DN270484_c1_g1_i1"
"17132"	"K10746"	"TRINITY_DN270484_c1_g1_i2"
"17133"	"K01177"	"TRINITY_DN270522_c0_g1_i1"
"17137"	"K15687"	"TRINITY_DN270634_c0_g1_i1"
"17139"	"K17086"	"TRINITY_DN270670_c0_g2_i1"
"17150"	"K10408"	"TRINITY_DN271012_c0_g1_i1"
"17154"	"K03147"	"TRINITY_DN271104_c0_g1_i1"
"17155"	"K03147"	"TRINITY_DN271104_c0_g1_i2"
"17161"	"K03797"	"TRINITY_DN271283_c0_g1_i4"
"17167"	"K02983"	"TRINITY_DN271349_c1_g1_i1"
"17175"	"K07903"	"TRINITY_DN271490_c0_g1_i1"
"17178"	"K01681"	"TRINITY_DN27163_c0_g1_i1"
"17179"	"K01681"	"TRINITY_DN27163_c0_g1_i2"
"17181"	"K03164"	"TRINITY_DN27172_c0_g1_i10"
"17184"	"K13185"	"TRINITY_DN2718_c5_g1_i1"
"17187"	"K02993"	"TRINITY_DN27201_c0_g1_i1"
"17188"	"K02993"	"TRINITY_DN27201_c0_g1_i2"
"17190"	"K02908"	"TRINITY_DN2720_c0_g1_i1"
"17192"	"K15683"	"TRINITY_DN272134_c0_g1_i2"
"17198"	"K14835"	"TRINITY_DN272331_c0_g1_i2"
"17203"	"K12392"	"TRINITY_DN272653_c0_g1_i2"
"17204"	"K24983"	"TRINITY_DN27268_c0_g1_i1"
"17205"	"K24983"	"TRINITY_DN27268_c0_g1_i17"
"17229"	"K02355"	"TRINITY_DN273126_c0_g1_i1"
"17230"	"K02704"	"TRINITY_DN273167_c0_g1_i1"
"17244"	"K12874"	"TRINITY_DN273286_c0_g1_i1"
"17252"	"K01662"	"TRINITY_DN273425_c0_g1_i1"
"17253"	"K01662"	"TRINITY_DN273425_c0_g1_i2"
"17254"	"K01662"	"TRINITY_DN273425_c0_g2_i1"
"17257"	"K05378"	"TRINITY_DN273446_c0_g1_i1"
"17258"	"K00688"	"TRINITY_DN27344_c0_g1_i3"
"17259"	"K00688"	"TRINITY_DN27344_c0_g1_i8"
"17266"	"K10400"	"TRINITY_DN2734_c0_g1_i4"
"17267"	"K10352"	"TRINITY_DN2734_c0_g1_i6"
"17269"	"K20131"	"TRINITY_DN273529_c0_g2_i1"
"17278"	"K13525"	"TRINITY_DN273584_c0_g1_i1"
"17286"	"K11592"	"TRINITY_DN273602_c0_g1_i3"
"17293"	"K01696"	"TRINITY_DN273689_c0_g1_i1"
"17297"	"K10280"	"TRINITY_DN273761_c0_g1_i2"
"17303"	"K09667"	"TRINITY_DN273845_c0_g1_i1"
"17304"	"K09667"	"TRINITY_DN273845_c0_g3_i1"
"17308"	"K19760"	"TRINITY_DN273884_c0_g1_i1"
"17309"	"K00600"	"TRINITY_DN273889_c0_g1_i1"
"17310"	"K00297"	"TRINITY_DN273889_c0_g2_i1"
"17311"	"K00600"	"TRINITY_DN273889_c1_g1_i1"
"17312"	"K00600"	"TRINITY_DN273889_c1_g1_i2"
"17313"	"K12349"	"TRINITY_DN273912_c0_g1_i1"
"17314"	"K12948"	"TRINITY_DN273913_c0_g1_i1"
"17315"	"K12948"	"TRINITY_DN273913_c0_g1_i2"
"17316"	"K03662"	"TRINITY_DN273916_c0_g1_i2"
"17318"	"K03283"	"TRINITY_DN27393_c0_g3_i1"
"17319"	"K03283"	"TRINITY_DN27393_c0_g4_i1"
"17320"	"K03283"	"TRINITY_DN27393_c0_g4_i2"
"17321"	"K09490"	"TRINITY_DN27393_c0_g5_i1"
"17322"	"K09490"	"TRINITY_DN27393_c0_g6_i1"
"17327"	"K02955"	"TRINITY_DN273996_c0_g1_i1"
"17328"	"K02955"	"TRINITY_DN273996_c0_g2_i1"
"17331"	"K02703"	"TRINITY_DN273_c0_g2_i3"
"17332"	"K02703"	"TRINITY_DN273_c0_g2_i5"
"17333"	"K03405"	"TRINITY_DN273_c0_g3_i1"
"17334"	"K02703"	"TRINITY_DN273_c8_g1_i1"
"17337"	"K05753"	"TRINITY_DN274011_c0_g1_i2"
"17340"	"K14379"	"TRINITY_DN274089_c0_g1_i1"
"17341"	"K14379"	"TRINITY_DN274089_c0_g1_i2"
"17343"	"K15377"	"TRINITY_DN274101_c0_g1_i1"
"17344"	"K15377"	"TRINITY_DN274101_c0_g1_i2"
"17345"	"K15377"	"TRINITY_DN274101_c1_g1_i1"
"17347"	"K22390"	"TRINITY_DN274122_c0_g1_i1"
"17348"	"K22390"	"TRINITY_DN274122_c0_g2_i1"
"17349"	"K22390"	"TRINITY_DN274122_c0_g3_i1"
"17358"	"K04371"	"TRINITY_DN2741_c0_g1_i1"
"17359"	"K11262"	"TRINITY_DN274227_c0_g2_i1"
"17362"	"K12567"	"TRINITY_DN274247_c0_g2_i1"
"17365"	"K21989"	"TRINITY_DN274282_c0_g1_i1"
"17374"	"K03062"	"TRINITY_DN274331_c0_g1_i1"
"17375"	"K03062"	"TRINITY_DN274331_c0_g1_i2"
"17381"	"K01540"	"TRINITY_DN274385_c0_g1_i1"
"17382"	"K01540"	"TRINITY_DN274385_c0_g1_i2"
"17383"	"K01540"	"TRINITY_DN274385_c0_g1_i3"
"17392"	"K00914"	"TRINITY_DN274449_c0_g1_i1"
"17402"	"K10408"	"TRINITY_DN274553_c0_g2_i1"
"17403"	"K00364"	"TRINITY_DN274558_c0_g1_i1"
"17405"	"K11517"	"TRINITY_DN27457_c0_g1_i2"
"17406"	"K11517"	"TRINITY_DN27457_c0_g1_i5"
"17407"	"K11517"	"TRINITY_DN27457_c0_g1_i6"
"17408"	"K03105"	"TRINITY_DN274584_c1_g1_i1"
"17416"	"K03798"	"TRINITY_DN274715_c0_g1_i1"
"17417"	"K13095"	"TRINITY_DN274738_c0_g2_i1"
"17418"	"K18646"	"TRINITY_DN274741_c0_g1_i2"
"17424"	"K00891"	"TRINITY_DN274849_c0_g1_i1"
"17427"	"K12172"	"TRINITY_DN274868_c0_g1_i1"
"17429"	"K01689"	"TRINITY_DN274923_c0_g1_i1"
"17433"	"K17686"	"TRINITY_DN274987_c0_g1_i1"
"17434"	"K14399"	"TRINITY_DN274993_c0_g1_i1"
"17437"	"K01527"	"TRINITY_DN27502_c0_g1_i2"
"17439"	"K06685"	"TRINITY_DN275037_c0_g1_i1"
"17440"	"K13448"	"TRINITY_DN275043_c0_g1_i1"
"17441"	"K20472"	"TRINITY_DN275046_c0_g1_i2"
"17455"	"K21751"	"TRINITY_DN2751_c0_g1_i1"
"17458"	"K10754"	"TRINITY_DN275243_c0_g1_i2"
"17459"	"K01507"	"TRINITY_DN275243_c0_g1_i3"
"17460"	"K10754"	"TRINITY_DN275243_c0_g3_i1"
"17461"	"K10754"	"TRINITY_DN275243_c0_g3_i2"
"17470"	"K02886"	"TRINITY_DN2752_c0_g1_i1"
"17472"	"K02886"	"TRINITY_DN2752_c0_g1_i11"
"17474"	"K02886"	"TRINITY_DN2752_c0_g1_i13"
"17475"	"K02886"	"TRINITY_DN2752_c0_g1_i3"
"17476"	"K02982"	"TRINITY_DN2752_c0_g3_i2"
"17493"	"K10435"	"TRINITY_DN275481_c0_g1_i1"
"17502"	"K12349"	"TRINITY_DN275544_c0_g1_i1"
"17503"	"K12349"	"TRINITY_DN275544_c0_g2_i1"
"17504"	"K03094"	"TRINITY_DN275546_c0_g1_i1"
"17505"	"K03094"	"TRINITY_DN275546_c1_g1_i1"
"17510"	"K23552"	"TRINITY_DN27559_c0_g1_i27"
"17512"	"K23552"	"TRINITY_DN27559_c0_g1_i4"
"17515"	"K06207"	"TRINITY_DN275637_c0_g1_i1"
"17516"	"K25900"	"TRINITY_DN27564_c0_g1_i1"
"17523"	"K19029"	"TRINITY_DN275671_c0_g3_i1"
"17525"	"K15305"	"TRINITY_DN275728_c0_g1_i1"
"17537"	"K13412"	"TRINITY_DN275900_c0_g1_i1"
"17540"	"K13782"	"TRINITY_DN275921_c0_g1_i1"
"17541"	"K13782"	"TRINITY_DN275921_c0_g1_i2"
"17542"	"K01180"	"TRINITY_DN275924_c0_g1_i1"
"17553"	"K20053"	"TRINITY_DN276054_c0_g2_i1"
"17558"	"K03164"	"TRINITY_DN276130_c0_g1_i1"
"17559"	"K03164"	"TRINITY_DN276130_c0_g2_i1"
"17563"	"K06532"	"TRINITY_DN276219_c0_g1_i3"
"17565"	"K12837"	"TRINITY_DN276252_c0_g1_i1"
"17571"	"K23029"	"TRINITY_DN27639_c0_g1_i2"
"17572"	"K23029"	"TRINITY_DN27639_c0_g2_i1"
"17574"	"K03265"	"TRINITY_DN276431_c0_g1_i1"
"17577"	"K22503"	"TRINITY_DN276458_c0_g1_i1"
"17578"	"K10755"	"TRINITY_DN276479_c0_g1_i1"
"17586"	"K00237"	"TRINITY_DN276559_c0_g1_i1"
"17587"	"K00237"	"TRINITY_DN276559_c1_g1_i1"
"17588"	"K14539"	"TRINITY_DN276591_c0_g1_i1"
"17592"	"K13109"	"TRINITY_DN276638_c0_g1_i1"
"17594"	"K00507"	"TRINITY_DN27669_c0_g1_i1"
"17599"	"K13412"	"TRINITY_DN276789_c0_g2_i1"
"17600"	"K00420"	"TRINITY_DN2767_c0_g1_i2"
"17601"	"K00420"	"TRINITY_DN2767_c0_g1_i3"
"17617"	"K23413"	"TRINITY_DN27702_c0_g1_i1"
"17619"	"K04855"	"TRINITY_DN277107_c0_g1_i1"
"17620"	"K01379"	"TRINITY_DN27710_c0_g1_i1"
"17623"	"K17701"	"TRINITY_DN277212_c0_g1_i2"
"17629"	"K02327"	"TRINITY_DN277327_c0_g1_i1"
"17630"	"K02327"	"TRINITY_DN277327_c0_g2_i1"
"17632"	"K15111"	"TRINITY_DN277369_c0_g1_i1"
"17633"	"K15111"	"TRINITY_DN277369_c0_g2_i1"
"17634"	"K24205"	"TRINITY_DN277448_c0_g1_i1"
"17637"	"K02893"	"TRINITY_DN27753_c0_g1_i1"
"17640"	"K11093"	"TRINITY_DN277660_c1_g1_i1"
"17643"	"K20315"	"TRINITY_DN277711_c0_g1_i5"
"17655"	"K11322"	"TRINITY_DN277841_c0_g1_i1"
"17660"	"K10352"	"TRINITY_DN277894_c0_g1_i1"
"17661"	"K11415"	"TRINITY_DN277907_c0_g1_i1"
"17668"	"K13293"	"TRINITY_DN277998_c0_g1_i2"
"17687"	"K24936"	"TRINITY_DN278244_c0_g1_i1"
"17690"	"K08824"	"TRINITY_DN278366_c0_g1_i1"
"17691"	"K08824"	"TRINITY_DN278366_c0_g1_i3"
"17697"	"K13412"	"TRINITY_DN278575_c0_g1_i1"
"17704"	"K08844"	"TRINITY_DN278643_c0_g1_i1"
"17707"	"K07095"	"TRINITY_DN278713_c0_g1_i14"
"17711"	"K19525"	"TRINITY_DN27883_c0_g1_i3"
"17712"	"K19525"	"TRINITY_DN27883_c0_g1_i4"
"17713"	"K14521"	"TRINITY_DN278916_c0_g1_i1"
"17716"	"K13412"	"TRINITY_DN27900_c1_g2_i1"
"17722"	"K05667"	"TRINITY_DN279206_c0_g2_i2"
"17729"	"K03098"	"TRINITY_DN279302_c0_g1_i1"
"17730"	"K00234"	"TRINITY_DN279316_c0_g1_i1"
"17731"	"K00234"	"TRINITY_DN279316_c0_g1_i2"
"17734"	"K09490"	"TRINITY_DN27931_c0_g1_i1"
"17735"	"K09490"	"TRINITY_DN27931_c0_g1_i3"
"17736"	"K09490"	"TRINITY_DN27931_c0_g2_i1"
"17737"	"K09490"	"TRINITY_DN27931_c0_g2_i2"
"17738"	"K09490"	"TRINITY_DN27931_c0_g2_i3"
"17739"	"K09490"	"TRINITY_DN27931_c0_g3_i1"
"17740"	"K09490"	"TRINITY_DN27931_c1_g1_i1"
"17741"	"K09490"	"TRINITY_DN27931_c1_g2_i1"
"17746"	"K13412"	"TRINITY_DN279442_c0_g1_i1"
"17747"	"K13412"	"TRINITY_DN279442_c0_g1_i2"
"17755"	"K00471"	"TRINITY_DN279539_c0_g1_i1"
"17759"	"K14293"	"TRINITY_DN279588_c0_g1_i1"
"17761"	"K08855"	"TRINITY_DN279650_c0_g2_i1"
"17765"	"K03686"	"TRINITY_DN279762_c0_g2_i2"
"17772"	"K21989"	"TRINITY_DN279898_c0_g1_i1"
"17775"	"K03762"	"TRINITY_DN279923_c0_g1_i1"
"17776"	"K03762"	"TRINITY_DN279923_c0_g2_i1"
"17777"	"K10577"	"TRINITY_DN279933_c0_g1_i1"
"17778"	"K03883"	"TRINITY_DN27995_c0_g1_i3"
"17779"	"K11292"	"TRINITY_DN279997_c0_g1_i1"
"17781"	"K24205"	"TRINITY_DN279_c1_g1_i3"
"17782"	"K24205"	"TRINITY_DN279_c1_g1_i4"
"17786"	"K17609"	"TRINITY_DN280027_c0_g1_i1"
"17787"	"K10839"	"TRINITY_DN280027_c0_g2_i1"
"17788"	"K12198"	"TRINITY_DN280038_c0_g1_i1"
"17793"	"K05349"	"TRINITY_DN280103_c0_g1_i1"
"17805"	"K22733"	"TRINITY_DN280317_c0_g1_i1"
"17806"	"K22733"	"TRINITY_DN280317_c0_g1_i2"
"17808"	"K11338"	"TRINITY_DN280346_c0_g1_i1"
"17809"	"K11338"	"TRINITY_DN280346_c0_g1_i2"
"17811"	"K10643"	"TRINITY_DN280356_c0_g1_i1"
"17814"	"K13207"	"TRINITY_DN280368_c0_g1_i1"
"17815"	"K11423"	"TRINITY_DN280368_c0_g2_i1"
"17817"	"K03300"	"TRINITY_DN28036_c2_g2_i2"
"17818"	"K06508"	"TRINITY_DN280374_c0_g1_i1"
"17819"	"K06508"	"TRINITY_DN280374_c0_g1_i2"
"17824"	"K25458"	"TRINITY_DN280395_c0_g2_i1"
"17831"	"K11498"	"TRINITY_DN280423_c0_g1_i1"
"17832"	"K10408"	"TRINITY_DN280429_c0_g1_i1"
"17833"	"K10408"	"TRINITY_DN280429_c0_g2_i1"
"17834"	"K10408"	"TRINITY_DN280429_c0_g3_i1"
"17838"	"K20989"	"TRINITY_DN280465_c0_g1_i1"
"17849"	"K13525"	"TRINITY_DN2804_c0_g1_i1"
"17850"	"K17491"	"TRINITY_DN280508_c0_g1_i1"
"17856"	"K08288"	"TRINITY_DN280593_c0_g1_i1"
"17858"	"K19584"	"TRINITY_DN280596_c0_g1_i1"
"17869"	"K22138"	"TRINITY_DN280662_c0_g1_i1"
"17870"	"K18584"	"TRINITY_DN2806_c0_g1_i1"
"17873"	"K18598"	"TRINITY_DN280754_c0_g1_i1"
"17880"	"K20793"	"TRINITY_DN2808_c0_g1_i2"
"17883"	"K22733"	"TRINITY_DN281072_c0_g1_i1"
"17885"	"K04758"	"TRINITY_DN281095_c0_g1_i1"
"17898"	"K13412"	"TRINITY_DN281275_c0_g1_i1"
"17899"	"K06911"	"TRINITY_DN281327_c0_g1_i1"
"17911"	"K20290"	"TRINITY_DN281861_c0_g1_i1"
"17921"	"K04523"	"TRINITY_DN282019_c3_g1_i1"
"17931"	"K11643"	"TRINITY_DN282196_c0_g1_i1"
"17936"	"K11838"	"TRINITY_DN282344_c0_g1_i1"
"17937"	"K11838"	"TRINITY_DN282344_c0_g2_i1"
"17938"	"K11838"	"TRINITY_DN282344_c0_g3_i1"
"17946"	"K24137"	"TRINITY_DN28253_c0_g1_i2"
"17948"	"K22068"	"TRINITY_DN28256_c0_g1_i1"
"17949"	"K22068"	"TRINITY_DN28256_c0_g2_i1"
"17957"	"K07374"	"TRINITY_DN2826_c0_g1_i1"
"17960"	"K00974"	"TRINITY_DN282767_c0_g2_i1"
"17963"	"K16603"	"TRINITY_DN282864_c0_g1_i1"
"17964"	"K07937"	"TRINITY_DN282961_c0_g1_i6"
"17972"	"K03737"	"TRINITY_DN283056_c0_g1_i1"
"17980"	"K14563"	"TRINITY_DN283245_c0_g1_i1"
"17999"	"K00700"	"TRINITY_DN283718_c0_g1_i1"
"18000"	"K00700"	"TRINITY_DN283718_c0_g2_i1"
"18006"	"K13957"	"TRINITY_DN283849_c0_g1_i1"
"18022"	"K06237"	"TRINITY_DN28405_c0_g1_i3"
"18030"	"K13979"	"TRINITY_DN284221_c0_g1_i1"
"18043"	"K07836"	"TRINITY_DN284682_c0_g1_i1"
"18047"	"K13412"	"TRINITY_DN284780_c0_g1_i1"
"18051"	"K16197"	"TRINITY_DN284804_c0_g1_i1"
"18052"	"K16197"	"TRINITY_DN284804_c2_g1_i2"
"18054"	"K02959"	"TRINITY_DN284868_c0_g4_i1"
"18057"	"K23971"	"TRINITY_DN285034_c0_g1_i2"
"18058"	"K01178"	"TRINITY_DN285086_c0_g1_i1"
"18059"	"K08632"	"TRINITY_DN285115_c0_g2_i2"
"18065"	"K00819"	"TRINITY_DN285198_c0_g1_i1"
"18068"	"K26520"	"TRINITY_DN2852_c1_g2_i1"
"18069"	"K26520"	"TRINITY_DN2852_c1_g2_i2"
"18070"	"K26520"	"TRINITY_DN2852_c1_g2_i4"
"18085"	"K25700"	"TRINITY_DN285627_c0_g1_i1"
"18087"	"K12898"	"TRINITY_DN28572_c0_g1_i1"
"18088"	"K12898"	"TRINITY_DN28572_c0_g1_i11"
"18089"	"K12898"	"TRINITY_DN28572_c0_g1_i12"
"18090"	"K12898"	"TRINITY_DN28572_c0_g1_i4"
"18091"	"K12898"	"TRINITY_DN28572_c0_g1_i6"
"18092"	"K12898"	"TRINITY_DN28572_c0_g1_i8"
"18093"	"K21269"	"TRINITY_DN285736_c0_g1_i1"
"18094"	"K01326"	"TRINITY_DN285744_c0_g1_i1"
"18099"	"K02149"	"TRINITY_DN285872_c0_g1_i3"
"18100"	"K12856"	"TRINITY_DN285926_c0_g1_i2"
"18101"	"K12856"	"TRINITY_DN285926_c0_g2_i1"
"18102"	"K12856"	"TRINITY_DN285926_c0_g2_i2"
"18103"	"K12856"	"TRINITY_DN285926_c0_g2_i3"
"18104"	"K12856"	"TRINITY_DN285926_c1_g1_i1"
"18105"	"K01001"	"TRINITY_DN285942_c0_g1_i1"
"18106"	"K01001"	"TRINITY_DN285942_c0_g2_i1"
"18111"	"K16630"	"TRINITY_DN285973_c0_g1_i2"
"18117"	"K01006"	"TRINITY_DN286042_c0_g3_i1"
"18120"	"K17499"	"TRINITY_DN286086_c2_g1_i1"
"18130"	"K19872"	"TRINITY_DN286243_c0_g1_i1"
"18131"	"K18442"	"TRINITY_DN286255_c0_g2_i1"
"18134"	"K03043"	"TRINITY_DN2862_c0_g1_i1"
"18136"	"K02183"	"TRINITY_DN286449_c0_g1_i2"
"18142"	"K19676"	"TRINITY_DN286568_c0_g1_i1"
"18143"	"K19676"	"TRINITY_DN286568_c0_g2_i1"
"18146"	"K17255"	"TRINITY_DN286654_c0_g1_i1"
"18154"	"K10396"	"TRINITY_DN286869_c0_g1_i1"
"18155"	"K02966"	"TRINITY_DN286890_c1_g1_i1"
"18165"	"K20691"	"TRINITY_DN287166_c0_g2_i1"
"18177"	"K12393"	"TRINITY_DN287467_c1_g1_i1"
"18178"	"K12393"	"TRINITY_DN287467_c1_g1_i2"
"18179"	"K12393"	"TRINITY_DN287467_c1_g1_i3"
"18194"	"K24190"	"TRINITY_DN28781_c0_g1_i4"
"18202"	"K00228"	"TRINITY_DN288006_c0_g1_i1"
"18218"	"K08913"	"TRINITY_DN28831_c0_g1_i2"
"18219"	"K08913"	"TRINITY_DN28831_c0_g2_i10"
"18220"	"K08913"	"TRINITY_DN28831_c0_g2_i2"
"18231"	"K02470"	"TRINITY_DN288445_c0_g1_i1"
"18232"	"K07936"	"TRINITY_DN288492_c0_g1_i3"
"18233"	"K07936"	"TRINITY_DN288492_c0_g1_i5"
"18234"	"K07936"	"TRINITY_DN288492_c0_g1_i9"
"18237"	"K00432"	"TRINITY_DN28853_c0_g1_i2"
"18238"	"K13179"	"TRINITY_DN28856_c0_g1_i1"
"18239"	"K13179"	"TRINITY_DN28856_c0_g1_i2"
"18240"	"K02989"	"TRINITY_DN28859_c0_g1_i1"
"18241"	"K02989"	"TRINITY_DN28859_c0_g1_i2"
"18242"	"K02989"	"TRINITY_DN28859_c0_g1_i3"
"18243"	"K02989"	"TRINITY_DN28859_c0_g1_i4"
"18244"	"K02989"	"TRINITY_DN28859_c0_g2_i3"
"18245"	"K02989"	"TRINITY_DN28859_c0_g2_i4"
"18246"	"K02989"	"TRINITY_DN28859_c1_g1_i1"
"18256"	"K14376"	"TRINITY_DN288836_c0_g1_i1"
