Seq	Level1	Level2	Level3	Level4	Level5	Level6	Level7
Seq7278	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Desmonostoc PCC-7422	Nostoc sp. Al1
Seq7279	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Desmonostoc PCC-7422	Nostoc sp. TLPVC5C
Seq7280	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Desmonostoc PCC-7422	uncultured bacterium
Seq7281	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Dolichospermum NIES41	Dolichospermum planctonicum PMC200.03
Seq7282	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Dolichospermum NIES41	Dolichospermum sigmoideum 0tu38s4
Seq7283	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Dolichospermum NIES41	uncultured bacterium
Seq7284	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Ewamiania TS0513	Ewamiania thermalis TS0513
Seq7285	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Fischerella CENA298	uncultured bacterium
Seq7286	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Fischerella PCC-9339	Fischerella PCC-9339
Seq7287	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Fischerella PCC-9339	Fischerella major NIES-592
Seq7288	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Fischerella PCC-9339	Fischerella muscicola PCC 7414
Seq7289	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Fischerella PCC-9339	Fischerella muscicola SAG 1427-1 = PCC 73103
Seq7290	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Fischerella PCC-9339	Fischerella sp. BB98.1
Seq7291	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Fischerella PCC-9339	Fischerella sp. NIES-4106
Seq7292	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Fischerella PCC-9339	Fischerella sp. PCC 9339
Seq7293	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Fischerella PCC-9339	Fischerella sp. PCC 9605
Seq7294	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Fischerella PCC-9339	Fischerella thermalis PCC 7521
Seq7295	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Fischerella PCC-9339	Hapalosiphon sp. SJRDC1
Seq7296	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Fischerella PCC-9339	Mastigocladus laminosus CCAP 1447/3
Seq7297	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Fischerella PCC-9339	Nostochopsis sp. HA4207-MV1
Seq7298	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Fischerella PCC-9339	uncultured bacterium
Seq7299	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Fischerella PCC-9339	uncultured cyanobacterium
Seq7300	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Fortiea PCC-7126	Fortiea contorta PCC 7126
Seq7301	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Fortiea laiensis HA4221-MV2	Fortiea laiensis HA4221-MV2
Seq7302	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Gloeotrichia PYH6	Gloeotrichia PYH6
Seq7303	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Gloeotrichia PYH6	Gloeotrichia pisum SL6-1-1
Seq7304	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Gloeotrichia SAG 32.84	Gloeotrichia SAG 32.84
Seq7305	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Gloeotrichia SAG 32.84	Calothrix sp. CCAP 1410/13
Seq7306	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Gloeotrichia SAG 32.84	Gloeotrichia longicauda SAG 32.84
Seq7307	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Halotia CENA158	Nostoc sp. 10Dp66E
Seq7308	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Iphinoe LOS-B1	Iphinoe LOS-B1
Seq7309	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Iphinoe LOS-B1	Iphinoe spelaeobios LO2-B1
Seq7310	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Iphinoe LOS-B1	uncultured cyanobacterium
Seq7311	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Kyrtuthrix huatulcensis C708	Kyrtuthrix huatulcensis C708
Seq7312	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Mastigocladopsis PCC-10914	Mastigocladopsis PCC-10914
Seq7313	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Mastigocladopsis PCC-10914	Mastigocladopsis repens PCC 10914
Seq7314	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Mastigocladopsis PCC-10914	Scytonema hyalinum BRAZIL-74LC
Seq7315	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Mastigocladopsis PCC-10914	Scytonema sp. AR8
Seq7316	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Mastigocladopsis PCC-10914	Scytonema sp. HK-05
Seq7317	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Mastigocladopsis PCC-10914	Scytonema sp. NIES-4073
Seq7318	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Mastigocladopsis PCC-10914	uncultured bacterium
Seq7319	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Mastigocoleus BC008	Mastigocoleus BC008
Seq7320	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Mastigocoleus BC008	Mastigocoleus testarum BC008
Seq7321	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Mastigocoleus BC008	uncultured bacterium
Seq7322	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Microchaetaceae cyanobacterium CENA550	Microchaetaceae cyanobacterium CENA550
Seq7323	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nodularia PCC-9350	Nodularia PCC-9350
Seq7324	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nodularia PCC-9350	Cyanospira rippkae
Seq7325	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nodularia PCC-9350	Nodularia harveyana
Seq7326	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nodularia PCC-9350	Nodularia harveyana Huebel 1983/300
Seq7327	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nodularia PCC-9350	Nodularia sp. B-CY-NM48
Seq7328	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nodularia PCC-9350	Nodularia sphaerocarpa
Seq7329	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nodularia PCC-9350	Nodularia spumigena
Seq7330	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nodularia PCC-9350	Nodularia spumigena CCY9414
Seq7331	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nodularia PCC-9350	cyanobacterium UTEX B 3002
Seq7332	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nostoc 0708	Nostoc azollae 0708
Seq7333	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nostoc BDU-40302	Nostoc BDU-40302
Seq7334	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nostoc BDU-40302	Anabaena sp. BHUAR002
Seq7335	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nostoc BDU-40302	Nostoc sp. HCC1088
Seq7336	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nostoc BDU-40302	uncultured cyanobacterium
Seq7337	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nostoc PCC-7107	Nostoc PCC-7107
Seq7338	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nostoc PCC-7107	Desmonostoc muscorum CENA18
Seq7339	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nostoc PCC-7107	Nostoc ellipsosporum NDUPC002
Seq7340	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nostoc PCC-7107	Nostoc ellipsosporum V
Seq7341	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nostoc PCC-7107	Nostoc piscinale CENA21
Seq7342	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nostoc PCC-7107	Nostoc sp. 2-07
Seq7343	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nostoc PCC-7107	Nostoc sp. BHU1_PS
Seq7344	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nostoc PCC-7107	Nostoc sp. BHU2_PS
Seq7345	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nostoc PCC-7107	Nostoc sp. MACC-461
Seq7346	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nostoc PCC-7107	Nostoc sp. MBR 210
Seq7347	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nostoc PCC-7107	Nostoc sp. NDUPC003
Seq7348	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nostoc PCC-7107	Nostoc sp. PCC 7107
Seq7349	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nostoc PCC-7107	Nostoc sp. SAG 2306
Seq7350	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nostoc PCC-7107	Nostoc sp. SKS8
Seq7351	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nostoc PCC-7107	Nostoc sp. TH1S01
Seq7352	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nostoc PCC-7107	Nostoc sp. YK-01
Seq7353	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nostoc PCC-7107	Nostoc spongiaeforme NDUPC007
Seq7354	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nostoc PCC-7107	Nostoc verrucosum
Seq7355	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nostoc PCC-7107	Scytonema sp. Coccocarpia sp. kj16 cyanobiont
Seq7356	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nostoc PCC-7107	Scytonema sp. Coccocarpia sp. kj30 cyanobiont
Seq7357	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nostoc PCC-7107	Trichormus azollae str. Kom BAI./1983
Seq7358	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nostoc PCC-7107	Trichormus doliolum str. doliolum 1
Seq7359	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nostoc PCC-7107	Trichormus variabilis MBDU 209
Seq7360	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nostoc PCC-7107	uncultured Streptostemon sp.
Seq7361	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nostoc PCC-73102	Nostoc PCC-73102
Seq7362	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nostoc PCC-73102	Nostoc commune
Seq7363	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nostoc PCC-73102	Nostoc commune AHNG0605
Seq7364	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nostoc PCC-73102	Nostoc commune HK-02
Seq7365	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nostoc PCC-73102	Nostoc commune WY1KK1
Seq7366	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nostoc PCC-73102	Nostoc punctiforme PCC 73102
Seq7367	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nostoc PCC-73102	Nostoc sp.
Seq7368	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nostoc PCC-73102	Nostoc sp. Lobaria pulmonaria 5183 cyanobiont
Seq7369	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nostoc PCC-73102	Nostoc sp. Nephroma bellum cyanobiont
Seq7370	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nostoc PCC-73102	Nostoc sp. Pannaria aff. leproloma cyanobiont 2 Ch
Seq7371	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nostoc PCC-73102	Nostoc sp. Pannaria andina cyanobiont Peru
Seq7372	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nostoc PCC-73102	Nostoc sp. Pannaria elixii cyanobiont 1 NZ
Seq7373	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nostoc PCC-73102	Nostoc sp. Pannaria elixii cyanobiont Aus
Seq7374	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nostoc PCC-73102	Nostoc sp. Pannaria sphinctrina cyanobiont 1b Ch
Seq7375	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nostoc PCC-73102	Nostoc sp. Peltigera collina UK144 cyanobiont
Seq7376	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nostoc PCC-73102	Nostoc sp. Peltigera malacea cyanobiont DB3992
Seq7377	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nostoc PCC-73102	Nostoc sp. Peltigera sp. cyanobiont
Seq7378	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nostoc PCC-73102	Nostoc sp. Physma byrsaeum LG:R2847 cyanobiont
Seq7379	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nostoc PCC-73102	Nostoc sp. Protopannaria pezizoides UK73 cyanobiont
Seq7380	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nostoc PCC-73102	Nostoc sp. 1189P
Seq7381	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nostoc PCC-73102	Nostoc sp. A15
Seq7382	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nostoc PCC-73102	Nostoc sp. ANT.L34.1
Seq7383	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nostoc PCC-73102	Nostoc sp. AR12
Seq7384	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nostoc PCC-73102	Nostoc sp. CCAP 1453/31
Seq7385	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nostoc PCC-73102	Nostoc sp. KVJ18
Seq7386	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nostoc PCC-73102	Nostoc sp. KVSF4
Seq7387	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nostoc PCC-73102	Nostoc sp. PCC 9229
Seq7388	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nostoc PCC-73102	Nostoc sp. SAG 41.87
Seq7389	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nostoc PCC-73102	Nostoc sp. SKJ2
Seq7390	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nostoc PCC-73102	Nostoc sphaeroides HBHF0604
Seq7391	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nostoc PCC-73102	uncultured Nostoc sp.
Seq7392	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nostoc PCC-73102	uncultured bacterium
Seq7393	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nostoc PCC-73102	uncultured cyanobacterium
Seq7394	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nostoc PCC-7524	Nostoc PCC-7524
Seq7395	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nostoc PCC-7524	Aliinostoc sp. Li_PS
Seq7396	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nostoc PCC-7524	Aliinostoc sp. ZH13_PS
Seq7397	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nostoc PCC-7524	Anabaena sp. CA = ATCC 33047
Seq7398	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nostoc PCC-7524	Anabaena sp. MACC-187
Seq7399	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nostoc PCC-7524	Anabaena sp. SN421
Seq7400	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nostoc PCC-7524	Anabaena sp. VM42
Seq7401	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nostoc PCC-7524	Calothrix sp. Mk1-C1
Seq7402	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nostoc PCC-7524	Desmonostoc muscorum CENA61
Seq7403	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nostoc PCC-7524	Desmonostoc muscorum MBG-AL111
Seq7404	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nostoc PCC-7524	Dolichospermum spiroides MBDU 607
Seq7405	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nostoc PCC-7524	Nostoc sp. AMH1
Seq7406	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nostoc PCC-7524	Nostoc sp. CAVN10
Seq7407	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nostoc PCC-7524	Nostoc sp. CENA219
Seq7408	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nostoc PCC-7524	Nostoc sp. NIES-3756
Seq7409	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nostoc PCC-7524	Nostoc sp. PCC 7423
Seq7410	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nostoc PCC-7524	Nostoc sp. SN419
Seq7411	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nostoc PCC-7524	Nostoc sp. UIC 10279
Seq7412	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nostoc PCC-7524	Trichormus variabilis ATCC 29413
Seq7413	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nostoc PCC-7524	Trichormus variabilis NIES-23
Seq7414	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nostoc PCC-7524	uncultured Nostoc sp.
Seq7415	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nostoc PCC-7524	uncultured bacterium
Seq7416	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nostoc PCC-8976	Nostoc PCC-8976
Seq7417	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nostoc PCC-8976	Aliinostoc morphoplasticum NOS
Seq7418	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nostoc PCC-8976	Nostoc sp. Bahar_E
Seq7419	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nostoc PCC-8976	Nostoc sp. CENA543
Seq7420	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nostoc SAG 60.79	Nostoc SAG 60.79
Seq7421	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nostoc SAG 60.79	Nostoc microscopicum SAG 40.87
Seq7422	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nostoc sp. Mollenhauer 1:1-067	Nostoc sp. Mollenhauer 1:1-067
Seq7423	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Petalonema ANT.LG2.8	uncultured bacterium
Seq7424	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Phyllonema CENA325	Phyllonema CENA325
Seq7425	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Phyllonema CENA325	Phyllonema aviceniicola CENA328
Seq7426	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Phyllonema CENA325	Phyllonema aviceniicola CENA341
Seq7427	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Phyllonema ansata C694-M4	Phyllonema ansata C694-M4
Seq7428	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Phyllonema tangolundensis C76-M18-K59	Phyllonema tangolundensis C76-M18-K59
Seq7429	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Richelia HH01	Richelia HH01
Seq7430	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Richelia HH01	Calothrix sp. BECID30
Seq7431	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Richelia HH01	Microchaete sp. CENA176
Seq7432	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Richelia HH01	Richelia intracellularis
Seq7433	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Richelia HH01	uncultured cyanobacterium
Seq7434	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Rivularia PCC-7116	Rivularia PCC-7116
Seq7435	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Rivularia PCC-7116	Calothrix parasitica NIES-267
Seq7436	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Rivularia PCC-7116	Calothrix sp. CCAP 1410/5
Seq7437	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Rivularia PCC-7116	Calothrix sp. XP9A
Seq7438	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Rivularia PCC-7116	Nostocales cyanobacterium HI14
Seq7439	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Rivularia PCC-7116	Nostocales cyanobacterium HI15
Seq7440	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Rivularia PCC-7116	Nunduva sp. LEGE 07159
Seq7441	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Rivularia PCC-7116	Phyllonema ansata C58-M5
Seq7442	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Rivularia PCC-7116	Rivularia atra BIR MGR1
Seq7443	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Rivularia PCC-7116	Rivularia sp. 1PA12
Seq7444	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Rivularia PCC-7116	Rivularia sp. 1PA19
Seq7445	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Rivularia PCC-7116	Rivularia sp. 1PA23
Seq7446	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Rivularia PCC-7116	Rivularia sp. 5PA11
Seq7447	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Rivularia PCC-7116	Rivularia sp. 5PA13
Seq7448	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Rivularia PCC-7116	Rivularia sp. LEGE 07177
Seq7449	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Rivularia PCC-7116	Rivularia sp. PCC 7116
Seq7450	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Rivularia PCC-7116	Rivularia sp. XP27A
Seq7451	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Rivularia PCC-7116	Rivularia sp. XSP25A
Seq7452	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Rivularia PCC-7116	Rivulariaceae cyanobacterium C1290_M9
Seq7453	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Rivularia PCC-7116	Rivulariaceae cyanobacterium C708_M10
Seq7454	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Rivularia PCC-7116	Rivulariaceae cyanobacterium C708_M3
Seq7455	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Rivularia PCC-7116	Rivulariaceae cyanobacterium FCME-C1088-M21-K118
Seq7456	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Rivularia PCC-7116	Rivulariaceae cyanobacterium FCME-C1230-M22-K135
Seq7457	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Rivularia PCC-7116	uncultured bacterium
